"Value Research Online"
"Date: 26-Mar-2018 00:30"
"Fund","Rating","Category","Launch","Expense Ratio (%)","3-Year Return (%)","3-Year Rank","Net Assets (Cr)"
"Tata Midcap Growth Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","1.87","9.69","69/87","674.95"
"JM Multi Strategy Fund","* * * * ","EQ-LC     ","Sep 23, 2008","-","9.63","18/162","145.77"
"Quantum Long Term Equity Fund - Direct Plan","* * * * ","EQ-LC     ","Mar 13, 2006","1.29","9.63","19/162","863.86"
"Invesco India Mid N Small Cap Fund","* * * ","EQ-MC     ","Mar 17, 2008","2.44","9.62","70/87","526.75"
"Invesco India Growth Fund","* * * * * ","EQ-LC     ","Aug 09, 2007","2.53","9.49","20/162","335.91"
"Invesco India Mid Cap Fund","* * ","EQ-MC     ","Apr 19, 2007","2.59","9.43","71/87","174.08"
"Aditya Birla Sun Life Top 100 Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.02","9.2","21/162","3959.13"
"Indiabulls Bluechip Fund","* * * ","EQ-LC     ","Feb 10, 2012","2.94","9.19","22/162","1021.83"
"L&T Business Cycles Fund - Regular Plan","* * ","EQ-MC     ","Aug 20, 2014","2.24","9.13","72/87","1019.19"
"Reliance Top 200 Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.13","9.08","23/162","8471.14"
"Aditya Birla Sun Life Frontline Equity Fund - Direct Plan","* * * * * ","EQ-LC     ","Jan 01, 2013","1.06","9.06","24/162","19704.79"
"Edelweiss Equity Opportunities Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.07","9.02","25/162","264.43"
"Axis Midcap Fund","* ","EQ-MC     ","Feb 18, 2011","2.19","8.92","73/87","1303.95"
"BNP Paribas Dividend Yield Fund","* * * ","EQ-MC     ","Sep 15, 2005","2.46","8.88","74/87","772.89"
"Tata Midcap Growth Fund - Regular Plan","* * * ","EQ-MC     ","Jul 01, 1994","1.88","8.86","75/87","674.95"
"HSBC Large Cap Equity Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","1.68","8.84","26/162","670.58"
"ICICI Prudential Focused Bluechip Equity Fund","* * * * ","EQ-LC     ","May 23, 2008","2.21","8.83","27/162","16275.05"
"Motilal Oswal Midcap 30 Fund - Direct Plan","* * * ","EQ-MC     ","Feb 24, 2014","1.28","8.83","76/87","1312.95"
"SBI Bluechip Fund","* * * * * ","EQ-LC     ","Feb 14, 2006","1.97","8.8","28/162","17664.55"
"Motilal Oswal Focused 25 Fund - Direct Plan","* * * * * ","EQ-LC     ","May 13, 2013","1.33","8.79","29/162","1007.81"
"Invesco India Business Leaders Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","0.97","8.77","30/162","131.33"
"Kotak Classic Equity Regular Plan","* * * * ","EQ-LC     ","Jul 27, 2005","2.6","8.75","31/162","169.33"
"Axis Equity Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1","8.69","32/162","1878.75"
"Union Small Cap Fund - Regular Plan","* ","EQ-SC     ","Jun 10, 2014","2.53","8.65","20/20","308.05"
"HDFC Equity Fund - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1.21","8.6","33/162","21621.14"
"Reliance ETF Shariah BeES","Unrated","EQ-LC     ","Mar 18, 2009","1","8.42","34/162","3.06"
"SBI Magnum Global Fund - Direct Plan","* * * ","EQ-MC     ","Jan 01, 2013","1.42","8.37","77/87","3456.44"
"Kotak 50 - Direct Plan","* * * * ","EQ-LC     ","Jan 01, 2013","1","8.33","35/162","1371.24"
"Sundaram Select Focus Fund - Direct Plan","* * * ","EQ-LC     ","Jan 01, 2013","0.82","8.15","36/162","679.28"
"Edelweiss Equity Opportunities Fund Regular Plan","* * * * ","EQ-LC     ","Jun 14, 2007","2.2","8.14","37/162","264.43"
