"Value Research Online"
"Date: 01-Apr-2018 13:07"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Reliance Focused Large Cap Fund - Direct Plan","* * * * ","Average","14.21","0.39","0.57","0.98","0.93","0.89"
"Reliance Growth Fund","* ","Above Average","15.97","0.59","0.85","1.01","4.66","0.74"
"Reliance Growth Fund - Direct Plan","* * ","Above Average","15.99","0.64","0.92","1.01","5.41","0.74"
"Reliance Index Fund - Nifty Plan","* * ","Above Average","13.62","0.27","0.44","1","-1.06","1"
"Reliance Index Fund - Nifty Plan - Direct Plan","* * ","Above Average","13.63","0.31","0.51","1","-0.49","1"
"Reliance Index Fund - Sensex Plan","Unrated","-","13.07","0.25","0.4","0.95","-1.19","0.98"
"Reliance Index Fund - Sensex Plan - Direct Plan","Unrated","-","13.07","0.29","0.46","0.95","-0.65","0.98"
"Reliance Mid & Small Cap Fund","* * ","High","17.28","0.62","0.79","1.03","5.8","0.66"
"Reliance Mid & Small Cap Fund - Direct Plan","* * ","Above Average","17.3","0.67","0.86","1.03","6.74","0.66"
"Reliance NRI Equity Fund","* * * ","Average","13.38","0.38","0.57","0.93","0.71","0.9"
"Reliance NRI Equity Fund - Direct Plan","* * * ","Below Average","13.39","0.42","0.64","0.93","1.29","0.9"
"Reliance Quant Plus Fund - Direct Plan","* * ","Average","12.77","0.29","0.49","0.92","-0.66","0.96"
"Reliance Quant Plus Fund - Retail Plan","* * ","Above Average","13.48","0.26","0.48","0.97","-1.02","0.97"
"Reliance Regular Savings Fund - Equity Option","* ","High","17.25","0.53","0.75","1.09","4.03","0.75"
"Reliance Regular Savings Fund - Equity Option - Direct Plan","* ","High","17.26","0.58","0.82","1.09","4.84","0.75"
"Reliance Small Cap Fund","* * * ","Above Average","18.59","1.06","1.4","1.02","15","0.56"
"Reliance Small Cap Fund - Direct Plan","* * * ","Average","18.62","1.12","1.47","1.02","16.09","0.56"
"Reliance Top 200 Fund - Direct Plan","* * * * * ","Average","14.48","0.56","0.83","1","3.41","0.89"
"Reliance Top 200 Fund - Retail Plan","* * * * ","Average","14.46","0.49","0.73","1","2.39","0.89"
"Reliance Vision Fund","* * * * ","High","15.15","0.35","0.59","1.03","0.52","0.86"
"Reliance Vision Fund - Direct Plan","* * * * ","Above Average","15.17","0.4","0.66","1.03","1.2","0.86"
"SBI Bluechip Fund","* * * * * ","Low","12.25","0.61","0.84","0.84","3.48","0.89"
