"Value Research Online"
"Date: 01-Apr-2018 13:10"
"Fund","Rating","Fund Risk Grade","Standard Deviation","Sharpe Ratio","Sortino Ratio","Beta","Alpha","R-Squared"
"Tata Gilt Mid Term Fund - Direct Plan","* * * * ","Low","3.68","1.15","1.99","0.69","1.66","0.96"
"Tata Gilt Mid Term Fund - Regular Plan","* * * ","Low","3.67","0.88","1.5","0.69","0.65","0.96"
"Tata Gilt Securities Fund - Direct Plan","* * * * ","Below Average","4.61","0.76","1.32","0.84","0.37","0.9"
"Tata Gilt Securities Fund - Regular Plan","* * * ","Average","4.62","0.55","0.97","0.85","-0.61","0.9"
"Tata Liquid Fund - Direct Plan","* * * ","-","0.24","17.66","48.82","0.54","3.43","0.44"
"Tata Liquid Fund - Regular Plan","* * * ","-","0.24","17.38","47.57","0.54","3.37","0.44"
"Tata Money Market Fund - Direct Plan","* * * * ","-","0.24","18.04","54.04","0.52","3.5","0.42"
"Tata Money Market Fund - Regular Plan","* * * ","-","0.24","17.74","52.56","0.52","3.44","0.42"
"Taurus Liquid Fund - Direct Plan","* ","-","4.47","0.53","0.19","2.93","-2.16","0.04"
"Taurus Liquid Fund - Regular Plan","* ","-","4.47","0.51","0.18","2.93","-2.25","0.04"
"Union Liquid - Unclaimed","Unrated","-","-","-","-","-","-","-"
"Union Liquid Fund","* * ","-","0.23","17.43","54.7","0.49","3.31","0.39"
"Union Liquid Fund - Direct Plan","* * ","-","0.23","18.09","53.96","0.5","3.42","0.4"
"UTI Gilt Advantage Long Term Plan","* * * * ","Average","5.05","0.75","1.89","0.89","0.47","0.85"
"UTI Gilt Advantage Long Term Plan - Direct Plan","* * * * * ","Average","5.06","0.8","2.02","0.9","0.74","0.85"
"UTI G-Sec Fund - Short Term Plan","* * ","Average","1.19","3.27","4.93","0.19","3.19","0.7"
"UTI G-Sec Fund - Short Term Plan - Direct Plan","* * * ","Average","1.19","3.39","5.16","0.19","3.33","0.7"
"UTI Liquid Cash Fund - Institutional Plan","* * * ","-","0.24","17.83","51.94","0.5","3.44","0.4"
"UTI Liquid Cash Fund Institutional - Direct Plan","* * * ","-","0.24","17.9","52.71","0.51","3.48","0.4"
"UTI Money Market Mutual Fund - Institutional Plan","* * * ","-","0.24","17.52","47.63","0.52","3.45","0.4"
"UTI Money Market Mutual Fund Institutional - Direct Plan","* * * * ","-","0.24","18.07","49.27","0.51","3.56","0.4"
"# Rating is provisional"
